No,Word,Sentence
144,freezer,put the ice cream in the freezer.
145,toaster,the toaster burned the bread.
146,shoulder,he carried the bag on his shoulder.
147,vicissitudes,she learned to face the vicissitudes of life.
148,explain,please explain the problem again.
149,ostrich,an ostrich can run very fast.
150,dinner,we had dinner together at home.
151,impossible,it is impossible to finish this alone.
152,ceramics,the gallery sells handmade ceramics.
153,pollution,air pollution affects our health.
154,electrical,the electrical system needs repair.
155,weather,the weather changed suddenly.
156,muesli,he eats muesli with milk for breakfast.
157,wheelchair,she uses a wheelchair at school.
158,flop,the show was a complete flop.
159,patient,the nurse is very patient.
160,upright,sit upright during the lesson.
161,narrator,the narrator speaks clearly.
162,torch,he turned on the torch in the dark.
163,blanket,she covered herself with a blanket.
164,human,humans need oxygen to live.
165,inquire,please inquire at the front desk.
166,monarch,the monarch addressed the nation.
167,december,december is the coldest month here.
168,surgery,the patient recovered after surgery.
169,wrist,she wore a bracelet on her wrist.
170,deliver,the company will deliver the package.
171,interview,he passed the job interview.
172,promise,she made a promise to her parents.
173,butcher,the butcher cuts the meat carefully.
174,insect,an insect landed on the flower.
175,lemon,she added lemon to the tea.
176,grocery,he went to the grocery store.
177,farmer,the farmer grows rice.
178,turkey,turkey is often served on holidays.
179,dentist,the dentist cleaned my teeth.
180,market,the market opens early.
181,volleyball,they play volleyball every weekend.
182,heater,turn on the heater when it's cold.
183,league,the team joined a new league.
184,famous,she became famous after the show.
185,pencil,sharpen your pencil before writing.
186,repeat,please repeat the instructions.
187,cheesecake,the cheesecake tastes delicious.
188,quicksand,the character sank into quicksand.
189,prevent,exercise helps prevent disease.
190,purple,she chose a purple bag.
191,eraser,use an eraser to fix errors.
192,bonus,he received a bonus at work.
193,between,the shop is between two banks.
194,pumpkins,pumpkins grow well in autumn.
195,award,she won an award for singing.
196,jungle,the jungle is full of wildlife.
197,thunderstorm,a thunderstorm hit last night.
198,faraway,they moved to a faraway city.
199,knives,keep knives in a safe place.
200,microphone,he tested the microphone.
201,admission,she waits for admission to the museum.
202,arrange,please arrange the books neatly.
203,attention,the teacher asks for attention in class.
204,behavior,good behavior is important at school.
205,calculate,students calculate the total number.
206,collection,he has a collection of stamps.
207,community,the community helps each other.
208,compete,athletes compete in the school game.
209,decide,she must decide what to wear.
210,discover,children discover new things every day.
211,distance,the distance to school is short.
212,effort,success needs effort and practice.
213,energy,healthy food gives us energy.
214,exercise,we exercise to keep our body strong.
215,improve,practice helps improve spelling.
216,include,please include your name on the paper.
217,information,the book gives useful information.
218,instruction,follow the instruction carefully.
219,journey,the journey to the village is long.
220,knowledge,reading builds knowledge.
221,material,wood is a strong material.
222,observe,we observe the stars at night.
223,organize,she helps organize the class event.
224,protect,helmets protect our head.
225,solution,the teacher explains the solution.
226,ability,reading shows a child’s ability to learn.
227,activity,drawing is my favorite activity at school.
228,announce,the teacher will announce the winner.
229,approve,parents approve good behavior.
230,balance,she keeps her balance on the bridge.
231,benefit,exercise has a health benefit.
232,compare,we compare two pictures in class.
233,complete,please complete your homework.
234,connect,we connect ideas when reading.
235,control,he learns to control his emotions.
236,creative,the student has a creative mind.
237,develop,children develop skills by practice.
238,educate,schools educate young learners.
239,encourage,teachers encourage students to try.
240,example,the teacher gives an example.
241,explore,we explore new topics in class.
242,focus,please focus on the lesson.
243,imagine,imagine a world without pollution.
244,increase,reading can increase knowledge.
245,method,this method helps learning.
246,prepare,students prepare for the test.
247,progress,she makes progress every week.
248,purpose,the purpose of school is learning.
249,respect,children should respect each other.
250,result,hard work gives good results.
251,achieve,students work hard to achieve their goals.
252,adapt,animals adapt to their environment.
253,advance,practice helps learners advance faster.
254,affect,sleep can affect learning ability.
255,approach,the teacher uses a new approach.
256,attempt,she makes an attempt to solve the problem.
257,aware,children should be aware of safety rules.
258,brief,the teacher gives a brief explanation.
259,challenge,spelling bee is a fun challenge.
260,clarify,please clarify your answer.
261,commit,students commit to regular practice.
262,communicate,we communicate using words and gestures.
263,conclude,we conclude the lesson with a review.
264,consider,think carefully and consider your choice.
265,construct,students construct models in class.
266,context,the meaning depends on the context.
267,contribute,everyone can contribute ideas.
268,cooperate,children cooperate during group work.
269,define,dictionaries define word meanings.
270,demonstrate,the teacher will demonstrate the task.
271,determine,tests determine student progress.
272,discuss,students discuss the story together.
273,display,artwork is on display at school.
274,effective,practice is an effective way to learn.
275,emphasize,teachers emphasize good manners.
276,engage,fun lessons engage students.
277,establish,schools establish clear rules.
278,evaluate,teachers evaluate student work.
279,expand,reading helps expand vocabulary.
280,factor,time is an important factor.
281,feature,the book has a special feature.
282,function,the heart has an important function.
283,generate,ideas can generate discussion.
284,identify,students identify key points.
285,illustrate,pictures illustrate the story.
286,impact,exercise has a positive impact.
287,implement,schools implement new programs.
288,indicate,signs indicate the right direction.
289,interpret,readers interpret the meaning.
290,maintain,maintain focus during lessons.
291,modify,teachers modify activities.
292,monitor,parents monitor screen time.
293,objective,every lesson has an objective.
294,participate,students participate in class.
295,perceive,children perceive colors differently.
296,prioritize,prioritize important tasks first.
297,process,learning is a process.
298,respond,students respond politely.
299,structure,stories have a clear structure.
300,transfer,skills transfer to new tasks.
