no,word,sentence
219,raincoat,my raincoat kept me dry.
220,umbrella,the umbrella opened quickly.
221,puddle,i jumped in a puddle.
222,splash,water made a splash.
223,muddy,my shoes were muddy.
224,windy,the day was windy.
225,fog,the fog covered the road.
226,sunny,it was a sunny day.
227,chilly,the morning felt chilly.
228,early,i woke up early.
229,late,we arrived late.
230,ready,i am ready to go.
231,tired,i felt tired after playing.
232,excited,i was excited for the trip.
233,brave,the brave child tried again.
234,kind,she was kind to everyone.
235,fair,the teacher was fair.
236,honest,he was honest about the mistake.
237,silly,we made silly faces.
238,proud,i felt proud of my work.
239,smile,her smile made everyone happy.
240,hug,i gave my mom a warm hug.
241,wave,we wave to our friends.
242,shout,the kids shout with joy.
243,whisper,he whispered a secret.
244,cheer,the crowd began to cheer.
245,clap,we clap after the show.
246,rest,i rest under the tree.
247,dream,i dream about flying high.
248,wish,i made a wish on a star.
249,hope,i hope today is fun.
250,help,i help my friend carry books.
251,share,we share our snacks.
252,give,i give my toy to my brother.
253,take,please take your bag.
254,bring,bring your hat outside.
255,find,i find a shell on the sand.
256,lose,do not lose your pencil.
257,build,we build a sandcastle.
258,fix,dad helps fix the bike.
259,make,i make a paper plane.
260,write,i write my name neatly.
261,count,we count the stars.
262,sing,we sing together.
263,dance,we dance to the music.
264,play,we play in the park.
265,learn,i learn new words.
266,think,i think about my dream.
267,look,look at the rainbow.
268,listen,listen to the birds.
269,watch,watch the clouds move.
270,feel,i feel happy today.
271,taste,i taste sweet candy.
272,smell,i smell fresh flowers.
273,touch,touch the soft fur.
274,enjoy,i enjoy the sunny day.
275,above,the bird flies above the tree.
276,under,the cat sleeps under the table.
277,between,the ball is between two boxes.
278,before,wash your hands before eating.
279,after,we play after school.
280,around,the kids run around the park.
281,along,we walk along the road.
282,inside,stay inside when it rains.
283,outside,the children play outside.
284,across,the dog runs across the field.
285,again,please read the word again.
286,because,i smile because i am happy.
287,every,i drink water every day.
288,never,we never tell lies.
289,always,she always helps her friend.
290,sometimes,i sometimes read at night.
291,together,we learn together in class.
292,different,each flower is different.
293,same,we wear the same shirt color.
294,behind,the ball is behind the chair.
295,during,we listen to the teacher during class.
296,without,i cannot write without a pencil.
297,careful,be careful when you cross the road.
298,follow,follow the teacher’s rules.
299,remember,remember to say thank you.
300,practice,practice helps you spell better.
