No,Word,Sentence
229,frostbitten,his frostbitten fingers needed medical care.
230,evacuation,evacuation saves lives during danger.
231,accumulate,dust can accumulate quickly.
232,phenomenon,a rainbow is a natural phenomenon.
233,puny,the puny plant needs more sunlight.
234,fortify,the wall is built to fortify the city.
235,resilience,resilience helps people recover from hardship.
236,collaborate,students collaborate on the project.
237,generosity,generosity helps build strong communities.
238,lustrous,her hair looks lustrous and healthy.
239,vicious,the vicious storm damaged houses.
240,colonel,the colonel leads the soldiers.
241,scuttle,the mouse began to scuttle away.
242,acquittal,the jury announced the acquittal calmly.
243,mortgage,they pay the mortgage every month.
244,cocoon,the butterfly grows inside a cocoon.
245,abbreviation,an abbreviation shortens a long word.
246,flamboyant,the dancer wears a flamboyant costume.
247,formidable,the mountain looks formidable to climbers.
248,panicked,she panicked briefly but then stayed calm.
249,consciousness,meditation improves consciousness and focus.
250,prominence,education gives reading great prominence.
251,minimize,we should minimize waste.
252,vacillate,do not vacillate when making important decisions.
253,changeable,the weather is changeable this season.
254,luncheon,the school hosts a formal luncheon.
255,retrieve,please retrieve the lost book.
256,espionage,espionage threatens national security.
257,phantom,the child imagined a phantom in the dark room.
258,belligerent,the belligerent tone caused conflict.
259,playwright,the playwright wrote a famous drama.
260,morale,teamwork improves morale.
261,ambassador,the ambassador promotes peace between nations.
262,ordinary,reading can turn ordinary days into adventures.
263,transferred,she was transferred to another school.
264,dialogue,the story includes meaningful dialogue.
265,version,this book has a new version.
266,spacious,the classroom feels spacious and bright.
267,integrity,integrity means doing the right thing.
268,wilderness,animals live freely in the wilderness.
269,hypothesis,the experiment tests a new hypothesis.
270,inevitable,mistakes are inevitable when learning.
271,retaliate,violence should never be used to retaliate.
272,visualize,visualize success before the test.
273,paradox,the story presents an interesting paradox.
274,mechanism,the clock uses a simple mechanism.
275,restaurant,the family eats dinner at a restaurant.
276,caricature,the artist draws a funny caricature.
277,epidemic,the epidemic spreads quickly.
278,chastise,teachers should not chastise unfairly.
279,penitentiary,the criminal is sent to a penitentiary.
280,slumber,deep slumber helps the body recover.
281,exhilarated,she feels exhilarated after winning.
282,paralysis,paralysis affects the ability to move muscles.
283,recognition,hard work deserves recognition.
284,barometer,a barometer measures air pressure.
285,havoc,the storm caused havoc in the village.
286,colleague,she greets her colleague politely.
287,desolate,the desert looks dry and desolate.
288,apparatus,the scientist prepared the apparatus carefully.
289,harass,we must never harass others.
290,subscription,he has a subscription to a science magazine.
291,altercation,the argument became a loud altercation.
292,forgery,forgery is a serious crime.
293,intervene,teachers intervene to stop bullying.
294,mercenary,he fights as a mercenary for money.
295,futile,arguing without listening is futile.
296,fiscal,the school plans its fiscal budget.
297,mitigate,safety rules mitigate risks.
298,skeptical,he is skeptical about false information.
299,longevity,exercise supports longevity and health.
300,unnecessary,shouting is unnecessary in class.
